date,sku,demand,day_of_week,month,day_of_year,is_weekend,is_promo,weather_index,lag_1,lag_3,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_30,sku_code
2024-04-01,Apple,166,0,4,92,0,1,35.38,137.0,101.0,98.0,125.0,112.14285714285714,112.28571428571429,117.4,0
2024-04-02,Apple,95,1,4,93,0,0,36.67,166.0,148.0,94.0,101.0,121.85714285714286,115.21428571428571,119.03333333333333,0
2024-04-03,Apple,99,2,4,94,0,0,35.82,95.0,137.0,105.0,99.0,122.0,114.78571428571429,118.06666666666666,0
2024-04-04,Apple,116,3,4,95,0,0,34.12,99.0,166.0,102.0,98.0,121.14285714285714,114.78571428571429,117.63333333333334,0
2024-04-05,Apple,112,4,4,96,0,0,37.06,116.0,95.0,101.0,103.0,123.14285714285714,116.07142857142857,118.1,0
2024-04-06,Apple,128,5,4,97,1,0,35.38,112.0,99.0,148.0,131.0,124.71428571428571,116.71428571428571,117.93333333333334,0
2024-04-07,Apple,141,6,4,98,1,0,38.36,128.0,116.0,137.0,130.0,121.85714285714286,116.5,119.6,0
2024-04-08,Apple,97,0,4,99,0,0,30.72,141.0,112.0,166.0,98.0,122.42857142857143,117.28571428571429,120.46666666666667,0
2024-04-09,Apple,88,1,4,100,0,0,31.53,97.0,128.0,95.0,94.0,112.57142857142857,117.21428571428571,118.63333333333334,0
2024-04-10,Apple,118,2,4,101,0,0,36.53,88.0,141.0,99.0,105.0,111.57142857142857,116.78571428571429,116.66666666666667,0
2024-04-11,Apple,108,3,4,102,0,0,33.42,118.0,97.0,116.0,102.0,114.28571428571429,117.71428571428571,116.63333333333334,0
2024-04-12,Apple,104,4,4,103,0,0,32.36,108.0,88.0,112.0,101.0,113.14285714285714,118.14285714285714,115.1,0
2024-04-13,Apple,127,5,4,104,1,0,29.38,104.0,118.0,128.0,148.0,112.0,118.35714285714286,115.0,0
2024-04-14,Apple,152,6,4,105,1,0,35.74,127.0,108.0,141.0,137.0,111.85714285714286,116.85714285714286,115.26666666666667,0
2024-04-15,Apple,105,0,4,106,0,0,35.69,152.0,104.0,97.0,166.0,113.42857142857143,117.92857142857143,116.93333333333334,0
2024-04-16,Apple,116,1,4,107,0,0,32.91,105.0,127.0,88.0,95.0,114.57142857142857,113.57142857142857,115.66666666666667,0
2024-04-17,Apple,90,2,4,108,0,0,35.01,116.0,152.0,118.0,99.0,118.57142857142857,115.07142857142857,114.8,0
2024-04-18,Apple,112,3,4,109,0,0,35.8,90.0,105.0,108.0,116.0,114.57142857142857,114.42857142857143,113.63333333333334,0
2024-04-19,Apple,108,4,4,110,0,0,34.62,112.0,116.0,104.0,112.0,115.14285714285714,114.14285714285714,114.0,0
2024-04-20,Apple,141,5,4,111,1,0,35.25,108.0,90.0,127.0,128.0,115.71428571428571,113.85714285714286,114.3,0
2024-04-21,Apple,120,6,4,112,1,0,29.39,141.0,112.0,152.0,141.0,117.71428571428571,114.78571428571429,115.73333333333333,0
2024-04-22,Apple,102,0,4,113,0,0,34.87,120.0,108.0,105.0,97.0,113.14285714285714,113.28571428571429,116.3,0
2024-04-23,Apple,123,1,4,114,0,0,36.51,102.0,141.0,116.0,88.0,112.71428571428571,113.64285714285714,115.33333333333333,0
2024-04-24,Apple,119,2,4,115,0,0,33.81,123.0,120.0,90.0,118.0,113.71428571428571,116.14285714285714,115.1,0
2024-04-25,Apple,102,3,4,116,0,0,35.6,119.0,102.0,112.0,108.0,117.85714285714286,116.21428571428571,115.8,0
2024-04-26,Apple,102,4,4,117,0,0,33.26,102.0,123.0,108.0,104.0,116.42857142857143,115.78571428571429,116.06666666666666,0
2024-04-27,Apple,137,5,4,118,1,0,31.41,102.0,119.0,141.0,127.0,115.57142857142857,115.64285714285714,115.96666666666667,0
2024-04-28,Apple,147,6,4,119,1,0,36.59,137.0,102.0,120.0,152.0,115.0,116.35714285714286,117.13333333333334,0
2024-04-29,Apple,86,0,4,120,0,0,35.09,147.0,102.0,102.0,105.0,118.85714285714286,116.0,118.66666666666667,0
2024-04-30,Apple,152,1,4,121,0,1,36.3,86.0,137.0,123.0,116.0,116.57142857142857,114.64285714285714,116.6,0
2024-05-01,Apple,103,2,5,122,0,0,31.57,152.0,147.0,119.0,90.0,120.71428571428571,117.21428571428571,117.1,0
2024-05-02,Apple,90,3,5,123,0,0,33.24,103.0,86.0,102.0,112.0,118.42857142857143,118.14285714285714,115.0,0
2024-05-03,Apple,107,4,5,124,0,0,33.33,90.0,152.0,102.0,108.0,116.71428571428571,116.57142857142857,114.83333333333333,0
2024-05-04,Apple,136,5,5,125,1,0,33.47,107.0,103.0,137.0,141.0,117.42857142857143,116.5,115.1,0
2024-05-05,Apple,141,6,5,126,1,0,32.73,136.0,90.0,147.0,120.0,117.28571428571429,116.14285714285714,115.76666666666667,0
2024-05-06,Apple,106,0,5,127,0,0,34.89,141.0,107.0,86.0,102.0,116.42857142857143,117.64285714285714,116.73333333333333,0
2024-05-07,Apple,103,1,5,128,0,0,34.12,106.0,136.0,152.0,123.0,119.28571428571429,117.92857142857143,116.0,0
2024-05-08,Apple,93,2,5,129,0,0,35.64,103.0,141.0,103.0,119.0,112.28571428571429,116.5,114.73333333333333,0
2024-05-09,Apple,88,3,5,130,0,0,31.75,93.0,106.0,90.0,102.0,110.85714285714286,114.64285714285714,114.6,0
2024-05-10,Apple,103,4,5,131,0,0,35.2,88.0,103.0,107.0,102.0,110.57142857142857,113.64285714285714,114.6,0
2024-05-11,Apple,134,5,5,132,1,0,33.95,103.0,93.0,136.0,137.0,110.0,113.71428571428571,114.1,0
2024-05-12,Apple,108,6,5,133,1,0,29.5,134.0,88.0,141.0,147.0,109.71428571428571,113.5,114.96666666666667,0
2024-05-13,Apple,88,0,5,134,0,0,32.84,108.0,103.0,106.0,86.0,105.0,110.71428571428571,115.1,0
2024-05-14,Apple,98,1,5,135,0,0,33.48,88.0,134.0,103.0,152.0,102.42857142857143,110.85714285714286,113.8,0
2024-05-15,Apple,82,2,5,136,0,0,31.95,98.0,108.0,93.0,103.0,101.71428571428571,107.0,112.0,0
2024-05-16,Apple,94,3,5,137,0,0,30.93,82.0,88.0,88.0,90.0,100.14285714285714,105.5,111.23333333333333,0
2024-05-17,Apple,104,4,5,138,0,0,31.89,94.0,98.0,103.0,107.0,101.0,105.78571428571429,110.5,0
2024-05-18,Apple,128,5,5,139,1,0,31.33,104.0,82.0,134.0,136.0,101.14285714285714,105.57142857142857,110.96666666666667,0
2024-05-19,Apple,118,6,5,140,1,0,28.53,128.0,94.0,108.0,141.0,100.28571428571429,105.0,111.5,0
2024-05-20,Apple,101,0,5,141,0,0,30.06,118.0,104.0,88.0,106.0,101.71428571428571,103.35714285714286,111.83333333333333,0
2024-05-21,Apple,96,1,5,142,0,0,32.24,101.0,128.0,98.0,103.0,103.57142857142857,103.0,110.5,0
2024-05-22,Apple,114,2,5,143,0,0,32.83,96.0,118.0,82.0,93.0,103.28571428571429,102.5,109.7,0
2024-05-23,Apple,93,3,5,144,0,0,31.34,114.0,101.0,94.0,88.0,107.85714285714286,104.0,110.1,0
2024-05-24,Apple,110,4,5,145,0,0,27.07,93.0,96.0,104.0,103.0,107.71428571428571,104.35714285714286,109.1,0
2024-05-25,Apple,199,5,5,146,1,1,33.77,110.0,114.0,128.0,134.0,108.57142857142857,104.85714285714286,108.8,0
2024-05-26,Apple,125,6,5,147,1,0,30.41,199.0,93.0,118.0,108.0,118.71428571428571,109.5,112.03333333333333,0
2024-05-27,Apple,104,0,5,148,0,0,28.48,125.0,110.0,101.0,88.0,119.71428571428571,110.71428571428571,112.8,0
2024-05-28,Apple,86,1,5,149,0,0,29.15,104.0,199.0,96.0,98.0,120.14285714285714,111.85714285714286,111.7,0
2024-05-29,Apple,99,2,5,150,0,0,30.45,86.0,125.0,114.0,82.0,118.71428571428571,111.0,109.66666666666667,0
2024-05-30,Apple,90,3,5,151,0,0,32.28,99.0,104.0,93.0,94.0,116.57142857142857,112.21428571428571,110.1,0
2024-05-31,Apple,96,4,5,152,0,0,30.47,90.0,86.0,110.0,104.0,116.14285714285714,111.92857142857143,108.03333333333333,0
2024-06-01,Apple,105,5,6,153,1,0,31.68,96.0,99.0,199.0,128.0,114.14285714285714,111.35714285714286,107.8,0
2024-06-02,Apple,109,6,6,154,1,0,29.11,105.0,90.0,125.0,118.0,100.71428571428571,109.71428571428571,108.3,0
2024-06-03,Apple,95,0,6,155,0,0,31.15,109.0,96.0,104.0,101.0,98.42857142857143,109.07142857142857,108.36666666666666,0
2024-06-04,Apple,109,1,6,156,0,0,28.76,95.0,105.0,86.0,96.0,97.14285714285714,108.64285714285714,107.0,0
2024-06-05,Apple,81,2,6,157,0,0,28.48,109.0,109.0,99.0,114.0,100.42857142857143,109.57142857142857,105.93333333333334,0
2024-06-06,Apple,96,3,6,158,0,0,32.57,81.0,95.0,90.0,93.0,97.85714285714286,107.21428571428571,105.1,0
2024-06-07,Apple,101,4,6,159,0,0,32.04,96.0,109.0,96.0,110.0,98.71428571428571,107.42857142857143,104.86666666666666,0
2024-06-08,Apple,115,5,6,160,1,0,29.78,101.0,81.0,105.0,199.0,99.42857142857143,106.78571428571429,105.13333333333334,0
2024-06-09,Apple,110,6,6,161,1,0,28.11,115.0,96.0,109.0,125.0,100.85714285714286,100.78571428571429,106.03333333333333,0
2024-06-10,Apple,97,0,6,162,0,0,32.97,110.0,101.0,95.0,104.0,101.0,99.71428571428571,106.26666666666667,0
2024-06-11,Apple,88,1,6,163,0,0,29.08,97.0,115.0,109.0,86.0,101.28571428571429,99.21428571428571,105.03333333333333,0
2024-06-12,Apple,82,2,6,164,0,0,30.74,88.0,110.0,81.0,99.0,98.28571428571429,99.35714285714286,104.36666666666666,0
2024-06-13,Apple,88,3,6,165,0,0,27.42,82.0,97.0,96.0,90.0,98.42857142857143,98.14285714285714,104.16666666666667,0
2024-06-14,Apple,97,4,6,166,0,0,25.13,88.0,88.0,101.0,96.0,97.28571428571429,98.0,103.83333333333333,0
2024-06-15,Apple,116,5,6,167,1,0,28.47,97.0,82.0,115.0,105.0,96.71428571428571,98.07142857142857,104.33333333333333,0
2024-06-16,Apple,162,6,6,168,1,1,24.32,116.0,88.0,110.0,109.0,96.85714285714286,98.85714285714286,105.06666666666666,0
2024-06-17,Apple,72,0,6,169,0,0,27.79,162.0,97.0,97.0,95.0,104.28571428571429,102.64285714285714,107.0,0
2024-06-18,Apple,81,1,6,170,0,0,21.98,72.0,116.0,88.0,109.0,100.71428571428571,101.0,105.13333333333334,0
2024-06-19,Apple,82,2,6,171,0,0,22.72,81.0,162.0,82.0,81.0,99.71428571428571,99.0,103.9,0
2024-06-20,Apple,104,3,6,172,0,0,28.99,82.0,72.0,88.0,96.0,99.71428571428571,99.07142857142857,103.26666666666667,0
2024-06-21,Apple,89,4,6,173,0,0,23.14,104.0,81.0,97.0,101.0,102.0,99.64285714285714,103.53333333333333,0
2024-06-22,Apple,118,5,6,174,1,0,23.72,89.0,82.0,116.0,115.0,100.85714285714286,98.78571428571429,102.7,0
2024-06-23,Apple,117,6,6,175,1,0,26.91,118.0,104.0,162.0,110.0,101.14285714285714,99.0,103.53333333333333,0
2024-06-24,Apple,148,0,6,176,0,1,28.28,117.0,89.0,72.0,97.0,94.71428571428571,99.5,103.76666666666667,0
2024-06-25,Apple,105,1,6,177,0,0,24.2,148.0,118.0,81.0,88.0,105.57142857142857,103.14285714285714,102.06666666666666,0
2024-06-26,Apple,77,2,6,178,0,0,25.48,105.0,117.0,82.0,82.0,109.0,104.35714285714286,101.4,0
2024-06-27,Apple,89,3,6,179,0,0,30.27,77.0,148.0,104.0,88.0,108.28571428571429,104.0,100.5,0
2024-06-28,Apple,88,4,6,180,0,0,24.51,89.0,105.0,89.0,97.0,106.14285714285714,104.07142857142857,100.6,0
2024-06-29,Apple,112,5,6,181,1,0,26.2,88.0,77.0,118.0,116.0,106.0,103.42857142857143,100.23333333333333,0
2024-06-30,Apple,109,6,6,182,1,0,23.82,112.0,89.0,117.0,162.0,105.14285714285714,103.14285714285714,100.96666666666667,0
2024-07-01,Apple,94,0,7,183,0,0,24.78,109.0,88.0,148.0,72.0,104.0,99.35714285714286,101.4,0
2024-07-02,Apple,46,1,7,184,0,0,23.11,94.0,112.0,105.0,81.0,96.28571428571429,100.92857142857143,101.03333333333333,0
2024-07-03,Apple,82,2,7,185,0,0,21.24,46.0,109.0,77.0,82.0,87.85714285714286,98.42857142857143,98.93333333333334,0
2024-07-04,Apple,78,3,7,186,0,0,22.28,82.0,94.0,89.0,104.0,88.57142857142857,98.42857142857143,98.5,0
2024-07-05,Apple,87,4,7,187,0,0,25.15,78.0,46.0,88.0,89.0,87.0,96.57142857142857,97.46666666666667,0
2024-07-06,Apple,105,5,7,188,1,0,23.01,87.0,82.0,112.0,118.0,86.85714285714286,96.42857142857143,97.66666666666667,0
2024-07-07,Apple,82,6,7,189,1,0,21.44,105.0,78.0,109.0,117.0,85.85714285714286,95.5,97.96666666666667,0
2024-07-08,Apple,80,0,7,190,0,0,22.91,82.0,87.0,94.0,148.0,82.0,93.0,97.33333333333333,0
2024-07-09,Apple,68,1,7,191,0,0,18.38,80.0,105.0,46.0,105.0,80.0,88.14285714285714,96.16666666666667,0
2024-07-10,Apple,88,2,7,192,0,0,27.17,68.0,82.0,82.0,77.0,83.14285714285714,85.5,94.76666666666667,0
2024-07-11,Apple,58,3,7,193,0,0,19.61,88.0,80.0,78.0,89.0,84.0,86.28571428571429,94.46666666666667,0
2024-07-12,Apple,80,4,7,194,0,0,19.77,58.0,68.0,87.0,88.0,81.14285714285714,84.07142857142857,93.46666666666667,0
2024-07-13,Apple,98,5,7,195,1,0,21.06,80.0,88.0,105.0,112.0,80.14285714285714,83.5,93.4,0
2024-07-14,Apple,102,6,7,196,1,0,22.62,98.0,58.0,82.0,109.0,79.14285714285714,82.5,93.73333333333333,0
2024-07-15,Apple,76,0,7,197,0,0,22.56,102.0,80.0,80.0,94.0,82.0,82.0,93.9,0
2024-07-16,Apple,71,1,7,198,0,0,22.2,76.0,98.0,68.0,46.0,81.42857142857143,80.71428571428571,92.56666666666666,0
2024-07-17,Apple,72,2,7,199,0,0,23.84,71.0,102.0,88.0,82.0,81.85714285714286,82.5,89.53333333333333,0
2024-07-18,Apple,77,3,7,200,0,0,22.99,72.0,76.0,58.0,78.0,79.57142857142857,81.78571428571429,89.53333333333333,0
2024-07-19,Apple,90,4,7,201,0,0,24.52,77.0,71.0,80.0,87.0,82.28571428571429,81.71428571428571,89.4,0
2024-07-20,Apple,106,5,7,202,1,0,24.08,90.0,72.0,98.0,105.0,83.71428571428571,81.92857142857143,89.66666666666667,0
2024-07-21,Apple,101,6,7,203,1,0,19.0,106.0,77.0,102.0,82.0,84.85714285714286,82.0,89.73333333333333,0
2024-07-22,Apple,68,0,7,204,0,0,19.33,101.0,90.0,76.0,80.0,84.71428571428571,83.35714285714286,90.13333333333334,0
2024-07-23,Apple,101,1,7,205,0,0,20.29,68.0,106.0,71.0,68.0,83.57142857142857,82.5,88.46666666666667,0
2024-07-24,Apple,94,2,7,206,0,0,18.25,101.0,101.0,72.0,88.0,87.85714285714286,84.85714285714286,87.93333333333334,0
2024-07-25,Apple,63,3,7,207,0,0,23.58,94.0,68.0,77.0,58.0,91.0,85.28571428571429,86.13333333333334,0
2024-07-26,Apple,79,4,7,208,0,0,21.72,63.0,101.0,90.0,80.0,89.0,85.64285714285714,84.73333333333333,0
2024-07-27,Apple,82,5,7,209,1,0,18.67,79.0,94.0,106.0,98.0,87.42857142857143,85.57142857142857,84.8,0
2024-07-28,Apple,91,6,7,210,1,0,17.69,82.0,63.0,101.0,102.0,84.0,84.42857142857143,84.56666666666666,0
2024-07-29,Apple,71,0,7,211,0,0,22.76,91.0,79.0,68.0,76.0,82.57142857142857,83.64285714285714,84.66666666666667,0
2024-07-30,Apple,73,1,7,212,0,0,20.89,71.0,82.0,101.0,71.0,83.0,83.28571428571429,83.3,0
2024-07-31,Apple,77,2,7,213,0,0,21.03,73.0,91.0,94.0,72.0,79.0,83.42857142857143,82.1,0
2024-08-01,Apple,81,3,8,214,0,0,20.29,77.0,71.0,63.0,77.0,76.57142857142857,83.78571428571429,81.53333333333333,0
2024-08-02,Apple,65,4,8,215,0,0,18.31,81.0,73.0,79.0,90.0,79.14285714285714,84.07142857142857,82.7,0
2024-08-03,Apple,102,5,8,216,1,0,23.22,65.0,77.0,82.0,106.0,77.14285714285714,82.28571428571429,82.13333333333334,0
2024-08-04,Apple,94,6,8,217,1,0,21.65,102.0,81.0,91.0,101.0,80.0,82.0,82.93333333333334,0
2024-08-05,Apple,85,0,8,218,0,0,20.71,94.0,65.0,71.0,68.0,80.42857142857143,81.5,83.16666666666667,0
2024-08-06,Apple,69,1,8,219,0,0,19.31,85.0,102.0,73.0,101.0,82.42857142857143,82.71428571428571,82.5,0
2024-08-07,Apple,81,2,8,220,0,0,21.53,69.0,94.0,77.0,94.0,81.85714285714286,80.42857142857143,82.06666666666666,0
2024-08-08,Apple,75,3,8,221,0,0,18.83,81.0,85.0,81.0,63.0,82.42857142857143,79.5,82.1,0
2024-08-09,Apple,78,4,8,222,0,0,17.1,75.0,69.0,65.0,79.0,81.57142857142857,80.35714285714286,82.33333333333333,0
2024-08-10,Apple,145,5,8,223,1,1,17.67,78.0,81.0,102.0,82.0,83.42857142857143,80.28571428571429,82.0,0
2024-08-11,Apple,106,6,8,224,1,0,18.84,145.0,75.0,94.0,91.0,89.57142857142857,84.78571428571429,84.9,0
2024-08-12,Apple,80,0,8,225,0,0,19.37,106.0,78.0,85.0,71.0,91.28571428571429,85.85714285714286,85.76666666666667,0
2024-08-13,Apple,66,1,8,226,0,0,17.26,80.0,145.0,69.0,73.0,90.57142857142857,86.5,85.16666666666667,0
2024-08-14,Apple,81,2,8,227,0,0,16.83,66.0,106.0,81.0,77.0,90.14285714285714,86.0,83.96666666666667,0
2024-08-15,Apple,70,3,8,228,0,0,18.37,81.0,80.0,75.0,81.0,90.14285714285714,86.28571428571429,84.13333333333334,0
2024-08-16,Apple,90,4,8,229,0,0,15.75,70.0,66.0,78.0,65.0,89.42857142857143,85.5,84.1,0
2024-08-17,Apple,95,5,8,230,1,0,18.91,90.0,81.0,145.0,102.0,91.14285714285714,87.28571428571429,84.7,0
2024-08-18,Apple,95,6,8,231,1,0,15.97,95.0,70.0,106.0,94.0,84.0,86.78571428571429,85.3,0
2024-08-19,Apple,72,0,8,232,0,0,20.15,95.0,90.0,80.0,85.0,82.42857142857143,86.85714285714286,85.46666666666667,0
2024-08-20,Apple,71,1,8,233,0,0,20.15,72.0,95.0,66.0,69.0,81.28571428571429,85.92857142857143,84.33333333333333,0
2024-08-21,Apple,92,2,8,234,0,1,18.18,71.0,95.0,81.0,81.0,82.0,86.07142857142857,83.33333333333333,0
2024-08-22,Apple,82,3,8,235,0,0,13.99,92.0,72.0,70.0,75.0,83.57142857142857,86.85714285714286,84.13333333333334,0
2024-08-23,Apple,81,4,8,236,0,0,15.61,82.0,71.0,90.0,78.0,85.28571428571429,87.35714285714286,83.5,0
2024-08-24,Apple,95,5,8,237,1,0,19.47,81.0,92.0,95.0,145.0,84.0,87.57142857142857,83.06666666666666,0
2024-08-25,Apple,145,6,8,238,1,1,16.18,95.0,82.0,95.0,106.0,84.0,84.0,84.13333333333334,0
2024-08-26,Apple,69,0,8,239,0,0,23.15,145.0,81.0,72.0,80.0,91.14285714285714,86.78571428571429,86.33333333333333,0
